App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,live,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,IE,,,,,,,,,,,,1,7,9,3,6,3,3,4,4,4,2,,,,2,,,,,,,,,,,,,,,,,1,,,,4,3,,
I,Acinonyx jubatus,live,,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,IN,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,JP,,,,,,,3,1,,,,,2,1,1,,,,,,,,2,,3,,,,,,1,1,,,,,,,,,,,,,4,,,,,
I,Acinonyx jubatus,live,,KE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,KZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MA,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MN,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,NA,,4,19,3,17,6,3,11,,27,29,44,38,49,54,22,28,33,32,21,66,57,40,41,2,,13,3,,,,,,4,,,,6,4,,1,,,,,,,,,
I,Acinonyx jubatus,live,,NI,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,NL,,,,2,,,12,4,2,4,3,1,1,9,9,4,5,5,18,6,2,1,2,4,4,1,10,6,2,1,7,2,,,,,,,2,2,,,,,,,,,,
I,Acinonyx jubatus,live,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
I,Acinonyx jubatus,live,,NZ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,2,2,,,,,,,,
I,Acinonyx jubatus,live,,PL,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,2,,,1,1,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,PT,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RU,,,,,,,,,,,,,,,,,,2,8,,,3,3,,4,,,,,,,,,,1,4,6,6,14,20,,6,,3,,,,,,
I,Acinonyx jubatus,live,,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,
I,Acinonyx jubatus,live,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,1,,2,,1,
I,Acinonyx jubatus,live,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,15,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SU,,,,,,,,,,3,,5,7,9,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,
I,Acinonyx jubatus,live,,SZ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TD,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TZ,,,,,,,,2,,,4,,,,,,1,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,US,,,,2,,1,,,,,,2,1,,,2,6,1,,4,10,4,,2,,1,,,,,,,,,,,,,,2,,,1,7,,,,,,
I,Acinonyx jubatus,live,,XX,,,1,5,,,,,,,,,,,,,,,,,6,,4,,,,,3,,,,,,6,,6,,,,10,2,4,,,,2,,6,,
I,Acinonyx jubatus,live,,YU,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ZA,,,,,14,7,23,15,44,15,31,19,9,29,15,38,10,19,40,48,11,28,53,31,31,34,39,59,43,121,76,82,66,94,62,94,92,92,65,59,58,23,53,50,57,47,61,52,,
I,Acinonyx jubatus,live,,ZC,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
